"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000143869",127.290808334505,-3.27887910014715,1.28052932714852,-2.56056540887552,0.0104501989653852,0.0358661149676183
"ENSG00000169297",331.758760013518,-5.99800136552134,1.35641091752544,-4.42196482498368,9.78073821514176e-06,0.0012536950012901
"ENSG00000215612",333.947480438501,-5.87429589093273,1.35186671123291,-4.34532179993939,1.39071633057199e-05,0.0012536950012901
"ENSG00000204963",131.215742882905,-3.67234194427501,1.23274108020963,-2.97900508324954,0.00289185980755924,0.0171300403772772
"ENSG00000108688",132.581430521288,-3.43978903228254,1.43732719102132,-2.39318441463446,0.0167028434520568,0.0488269212669648
"ENSG00000198028",299.258268664534,-5.66580735900394,1.43621375400297,-3.94496107784262,7.98129415154217e-05,0.00369799962354787
"ENSG00000273100",108.351372253566,-3.41142685272242,1.36826251789918,-2.49325462628348,NA,NA
"ENSG00000186493",220.78790742003,-5.51724951134638,1.28670847469965,-4.28787842765567,1.80387769969798e-05,0.0012536950012901
"ENSG00000230699",103.474574625082,-3.43300520937153,1.3919454207824,-2.46633607763289,0.0136503191658512,0.0431225991830299
"ENSG00000081842",106.973582106927,-3.63393280381922,1.45751145696063,-2.49324476076305,NA,NA
"ENSG00000287200",164.966129761391,-4.91249993601519,1.43165560334098,-3.43134195441359,NA,NA
"ENSG00000234354",133.546882782246,-4.42988425450537,1.3313249467871,-3.32742525797031,NA,NA
"ENSG00000170561",316.968841519458,-6.39263596803114,1.33107403926096,-4.8026148654965,1.56606926672322e-06,0.000435367256149055
"ENSG00000287893",90.1956193387948,-3.80440942141868,1.45496616109547,-2.61477519075377,NA,NA
"ENSG00000260577",120.429837096297,-4.62174654479732,1.31760168722002,-3.5076962860822,0.00045200476316726,0.0104714436800415
"ENSG00000163736",100.53347238356,-4.01157667905046,1.48972910520632,-2.69282291997302,0.00708498880238815,0.0285453172038247
"ENSG00000271551",82.8602471610613,-3.86836563757405,1.25470224594257,-3.08309453504487,NA,NA
"ENSG00000204791",88.0729397306698,-4.14462736565176,1.33668779793504,-3.10066970915312,NA,NA
"ENSG00000286478",119.180848733252,-5.11142168866927,1.63689642000877,-3.12262989043734,0.00179242993532918,0.0171300403772772
"ENSG00000179873",70.2757688091418,-3.94430050327286,1.38353471293207,-2.85088654907246,0.00435975220367477,0.0203634948918148
"ENSG00000257443",99.4174976293789,-4.94121984680628,1.63200153867125,-3.02770538490383,NA,NA
"ENSG00000196109",61.6887769591753,-3.69786658027287,1.46452858841519,-2.52495349665686,0.0115713600183682,0.0392297327451994
"ENSG00000237863",74.0934403796158,-4.11745226050623,1.3878338673534,-2.96681926948374,NA,NA
"ENSG00000229676",75.5755785276607,-4.32995804634468,1.25839662925123,-3.44085318229203,0.000579883090675919,0.0119035729988231
"ENSG00000246528",77.7970503768145,-4.4905255332448,1.43748773664667,-3.12387049904173,0.00178488994674868,0.0171300403772772
"ENSG00000148346",64.9584763784067,-3.93966434498595,1.42451498577191,-2.76561804146352,NA,NA
"ENSG00000223528",748.930493456978,-9.01709315751131,2.1398200625004,-4.21394925467459,NA,NA
"ENSG00000180458",57.8708567195044,-3.83368769370301,1.43035495653466,-2.68023519350115,0.00735704483226054,0.0288064572305413
"ENSG00000166926",105.457257921347,-5.31595751227347,1.53583367099307,-3.46128465124492,NA,NA
"ENSG00000136944",87.0779707735697,-4.91582919679158,1.55211763853863,-3.167175653915,0.0015392731167886,0.0171300403772772
"ENSG00000118113",52.2598894399584,-3.6478877368001,1.65965319812378,-2.19798192834744,0.0279503937842587,0.0676104472692799
"ENSG00000261754",79.5773615918957,-4.85943838764426,1.46200842085261,-3.32381012197614,0.000887966321160715,0.0154284148301674
"ENSG00000229654",138.466926603689,-6.65005321786762,1.66597870279554,-3.99167960953446,NA,NA
"ENSG00000131355",64.0358698619512,-4.70277087192608,1.53992684960973,-3.05389238009449,NA,NA
"ENSG00000185275",136.257392193088,-6.69830468415216,1.4903890064483,-4.49433312723815,NA,NA
"ENSG00000171956",37.1695028074436,-3.59963796786229,1.38099719628017,-2.60654980151894,0.00914595227568391,0.0342839138915797
"ENSG00000183032",41.6126380121942,-3.96123497390916,1.33846105024683,-2.9595444508293,0.00308094251389878,0.0171300403772772
"ENSG00000197472",42.9273038491803,-4.3077323054892,1.20381978032275,-3.57838637967411,0.000345722103212414,0.0096110744693051
"ENSG00000133124",69.7742909872341,-5.50418908954304,1.74655524357395,-3.15145433263244,NA,NA
"ENSG00000237210",26.6861697043646,-3.44076318533546,2.20435854486135,-1.56089089651787,NA,NA
"ENSG00000287340",32.9293584217146,-3.9926928929539,1.6672393484485,-2.39479286322591,0.016629756946931,0.0488269212669648
"ENSG00000288041",37.094824102357,-4.52375477291909,1.34923089829542,-3.35283959078782,0.000799870496225006,0.0148242665300368
"ENSG00000174450",27.2005498804783,-3.82667307805296,1.72997160240717,-2.21198606539456,NA,NA
"ENSG00000261711",36.3270817886004,-4.88343495821445,1.72599188608421,-2.82934989300186,NA,NA
"ENSG00000236816",29.3919986419487,-4.25303862438517,1.17421720209598,-3.62202036965008,0.000292311097642729,0.0090291650160754
"ENSG00000162892",38.7510139786762,-4.87646358617433,1.49539679580923,-3.26098303797384,0.00111026681689357,0.0162449565840217
"ENSG00000287209",29.6416479826292,-4.40403528013111,1.59119193316248,-2.76775867721886,NA,NA
"ENSG00000271234",33.8994073843397,-5.07077345804835,1.84705931727138,-2.7453224759123,NA,NA
"ENSG00000204936",76.2301861182061,-6.54405511886862,1.75273586729955,-3.73362309801481,NA,NA
"ENSG00000174697",29.376111002544,-4.46599090240155,1.55256630713763,-2.8765218476467,0.00402084359889991,0.0192723193188651
"ENSG00000129514",60.092144878778,-6.09424506404445,1.65635123693213,-3.67931929421692,NA,NA
"ENSG00000187185",25.8266210675789,-4.8439100282017,1.81014434643423,-2.67597997791923,NA,NA
"ENSG00000124557",23.6195292696427,-4.69060172815336,1.55481941622894,-3.01681447967118,NA,NA
"ENSG00000184895",19.9297203829606,-5.06375313970871,2.09675259200503,-2.41504560863162,0.0157332394834203,0.0476846724831935
"ENSG00000264956",23.6948814033163,-4.86898133343284,1.92733005464741,-2.52628309390609,NA,NA
"ENSG00000236054",31.9141751694584,-5.74441743572071,1.68311841252983,-3.4129609616037,NA,NA
"ENSG00000285534",16.5803387407622,-3.96381228068787,1.7188898685432,-2.30603039393519,NA,NA
"ENSG00000262539",14.7984917878395,-4.29009210550043,1.68191353289252,-2.55072096252322,NA,NA
"ENSG00000235142",93.0452078732898,-8.03376259310778,2.25864650868505,-3.55689239649321,NA,NA
"ENSG00000178919",32.0846891887622,-6.32057248713966,1.98473795202918,-3.18458791029696,0.00144960273638672,0.0171300403772772
"ENSG00000253187",12.0801104646028,-4.21973506232208,1.77121316081394,-2.38239820913646,0.0172002865090486,0.0488269212669648
"ENSG00000253308",15.3542152591554,-4.82626011952406,1.80588415431357,-2.67251922444524,0.00752840606780901,0.0290680123173737
"ENSG00000287867",22.5194119572734,-5.65148417230153,1.72570245481267,-3.27488910764459,0.00105703457627512,0.0162449565840217
"ENSG00000230635",12.394868067209,-4.2429014407029,1.7781008733579,-2.38619838968432,0.0170235648170993,0.0488269212669648
"ENSG00000269345",11.7607440613569,-4.25045534928211,1.72240501914474,-2.46774440508347,0.0135967366206688,0.0431225991830299
"ENSG00000228304",11.6264062395934,-4.45044292281,2.17532158582955,-2.04587815971717,NA,NA
"ENSG00000273906",31.1299943425869,-6.71435734441512,1.76106317293895,-3.81267262162429,0.000137472151442492,0.00544583615272915
"ENSG00000183169",15.7517898949341,-4.86303642115611,2.35370422242845,-2.06612044742761,NA,NA
"ENSG00000277089",11.6434332797011,-4.4130497543021,2.22562682503655,-1.98283454560251,NA,NA
"ENSG00000271584",9.44226345393361,-4.17620298263026,1.76009675247819,-2.37271216866359,0.0176580183437293,0.0488269212669648
"ENSG00000286521",11.0081469420138,-5.03923061842148,2.06742813001067,-2.43743932147981,NA,NA
"ENSG00000271776",11.3246750368677,-5.16759068540744,1.90923674762535,-2.70662645260455,0.00679706907799187,0.0277880177012021
"ENSG00000283458",12.5143867105178,-5.29277469035297,1.72163402777161,-3.07427397749779,0.00211015547455977,0.0171300403772772
"ENSG00000280118",9.19699671515316,-4.9266734471824,1.93725762609379,-2.54311733288481,NA,NA
"ENSG00000205215",9.38678107810378,-4.86642765199814,1.74329599175245,-2.79150968912982,0.00524627868934855,0.0227885230568577
"ENSG00000286351",17.3129317680742,-6.33260966947338,2.21201122558182,-2.86282890260095,NA,NA
"ENSG00000279134",12.2296776129039,-5.71592458725043,2.12017314449412,-2.6959706579126,NA,NA
"ENSG00000063515",9.87198162551235,-5.39950390852897,2.16320001406632,-2.49607242669121,0.0125576958547119,0.0410710523248225
"ENSG00000164400",8.32838716253052,-5.14626327506959,2.17048889945271,-2.371015708197,0.0177392771509476,0.0488269212669648
"ENSG00000205266",6.88778059296893,-4.88340322719541,1.90121626747547,-2.56856797973849,0.0102119680369095,0.0354865889282603
"ENSG00000259974",5.87225228484531,-4.64874547283902,2.11932114777079,-2.19350685842436,NA,NA
"ENSG00000092377",13.6332875555403,-6.56112426458008,2.03158650056981,-3.22955693136366,NA,NA
"ENSG00000242021",10.0423124869629,-6.11058388355846,2.14532521629923,-2.84832520362552,0.00439499889751399,0.0203634948918148
"ENSG00000268079",6.0171607048093,-5.35729997733893,2.38295927650135,-2.24817101583225,0.0245652871082196,0.0632328686674541
"ENSG00000279104",5.64454389988104,-5.2648190285101,1.77288197990074,-2.96963875102666,0.00298150134104186,0.0171300403772772
"ENSG00000268104",5.24303905665982,-5.15736733874301,2.06173207723214,-2.50147310394798,0.0123677836288087,0.0409314743905812
"ENSG00000233941",56.4191263726453,-22.6522990587441,2.6212771240618,-8.64170325632846,NA,NA
"ENSG00000257288",27.3340891544093,-22.9876116610795,2.4482240752659,-9.38950478157636,NA,NA
"ENSG00000257541",12.672588533339,-21.9445774410916,2.65976628429408,-8.2505660631441,NA,NA
"ENSG00000164438",11.3158760902222,-6.88105667264472,2.24301250275022,-3.06777455061337,0.00215659253014347,0.0171300403772772
"ENSG00000287460",8.48009464808738,-6.46755083032509,2.49586883947488,-2.59130236654816,NA,NA
"ENSG00000259907",7.78855247605713,-6.342578066048,2.09055257666033,-3.03392420590556,0.00241395068863487,0.0171300403772772
"ENSG00000287552",4.53946993802893,-5.56684999751381,2.90581900409194,-1.91575937443958,NA,NA
"ENSG00000228886",3.83216099577115,-5.32331563762203,2.12763052605531,-2.50199250877059,0.012349653796535,NA
"ENSG00000277984",3.54906419048398,-5.20987643227096,2.44687802591261,-2.12919335459226,0.0332382664910813,NA
"ENSG00000102313",3.89208694060788,-5.3398942636192,2.71478311692301,-1.96696901138517,0.0491867834511687,NA
"ENSG00000279411",3.8351254771947,-5.31684543350868,2.98732662204159,-1.77980050600394,NA,NA
"ENSG00000237759",3.32956897410175,-5.1208625590021,2.55568752831833,-2.00371230921633,0.0451008869356142,NA
