"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000229735",2.81465817233368,3.73815866729329,2.67680887748922,1.39649815820978,NA,NA
"ENSG00000211655",2.67963495135504,3.67422090097314,2.97357740879219,1.23562308824021,NA,NA
"ENSG00000273367",11.1020704889279,2.18154782014542,1.26897562470254,1.71914083901871,0.0855887301053723,0.151355694677975
"ENSG00000262267",6.84133474311123,3.37878971702393,1.81382363160442,1.86279947959174,0.0624904832950668,0.120641349694643
"ENSG00000275216",7.3649891346397,4.54918574336192,2.17127150355486,2.09517130212131,NA,NA
"ENSG00000280693",9.43030096623676,3.53762226546987,1.91987843713427,1.8426282607509,0.0653833047903276,0.123889804920186
"ENSG00000171346",12.4947802080733,2.61789804513467,1.50227065521057,1.74262742605974,0.0813987161077066,0.148225084572115
"ENSG00000256915",7.61541274621937,4.60675748155553,2.13293410007058,2.15982175980172,NA,NA
"ENSG00000226806",6.85026751230951,5.05400728567698,2.24599350845129,2.25023236561442,0.024434198758073,0.0632328686674541
"ENSG00000233515",6.79418325375942,5.04160258279407,2.25984384866602,2.23095174729444,NA,NA
"ENSG00000259527",5.65257203932366,5.38314585600923,2.8679475524555,1.87700289407324,NA,NA
"ENSG00000243944",8.48483738756901,4.22687552538997,2.14330835112201,1.97212665325417,NA,NA
"ENSG00000251039",5.14223279351571,4.62938221666274,2.23009369086337,2.07586893574435,0.0379060744777857,0.0849829734260033
"ENSG00000251320",5.67368239410908,5.38804618125888,2.61599120456535,2.05965760582674,NA,NA
"ENSG00000251623",12.2655214529699,2.70378226603182,1.36612843866101,1.97915670995174,0.0477983651935823,0.103812074404812
"ENSG00000285675",13.5454414243088,2.39764873927703,1.65119221830187,1.45207124446289,NA,NA
"ENSG00000211685",4.37397956184275,2.7446741013226,2.04640043509573,1.34122044456769,NA,NA
"ENSG00000083782",10.0432375767204,3.67838999598244,1.82873070281152,2.01144432601652,NA,NA
"ENSG00000095917",10.5404350465484,3.15247279512089,1.41360546665419,2.23009380586392,0.025741215959727,0.0641456238899686
"ENSG00000173237",4.38454203683871,2.72265101981816,2.05451337130074,1.32520481874227,0.18510322755663,NA
